Author,Year,Title,Journal Name,Volume,Issue,Pages,Abstract,categories
"Aldridge, C. A., and E. C. Boone",2022,Simple models to quickly estimate the probable range of data‐limited riverine fishes: Research & management,River Research and Applications,38,6,1154-1166,"Species distribution models provide biologists with insight into species ranges, ecological niches, and spatial predictions of suitable habitat, but require significant training, data, and time for biologists to obtain reliable results. Alternatively, ad hoc inferences from sparse occurrence records leave biologists to face conservation decisions with high uncertainty. Simple predictive models can fill the gap between these two alternatives. One method to predict the probable range of riverine fishes is to add the average distance between occurrences to the most distal occurrence (parametric estimator). However, there are drawbacks to this method when the distances between occurrences deviate from a non‐uniform distribution. Herein, estimators that are robust to non‐uniformity, a non‐parametric and an optimal linear estimator, were adapted and compared to the parametric estimator using simulations. The non‐parametric estimator showed the least bias and variance in bias for the probable range endpoint. The optimal linear estimator best balanced type I and type II errors in the maximum probable range estimate (i.e., upper CI). Application of the robust estimators were made to demonstrate how sampling can be planned based on available effort (Gulf Coast walleye, Sander vitreus) and where early detection sampling may be focused (silver carp, Hypophthalmichthys molitrix). This study provides biologists with a suite of simple options (R code provided as supplementary material) to bridge the gap between ad hoc inference and complex modeling over a range of scenarios. Future studies should focus on accounting for false‐positives, variable effort, and develop online apps for accessibility.",yes
"Banan, A., A. Nasiri, and A. Taheri-Garavand",2020,Deep learning-based appearance features extraction for automated carp species identification,Aquacultural Engineering,89,,,"Fish species identification is vital for aquaculture and fishery industries, stock management of water bodies and environmental monitoring of aquatics. Traditional fish species identification approaches are costly, time consuming, expert-based and unsuitable for large-scale applications. Hence, in this study, a deep learning neural network as a smart, real-time and non-destructive method was developed and applied to automate the identification of four economically important carp species namely common carp (Cyprinus carpio), grass carp (Ctenopharingodon idella), bighead carp (Hypophtalmichthys nobilis) and silver carp (Hypophthalmichthys molitrix). The obtained results proved that our approach, evaluated through 5-fold cross-validation, achieved the highest possible accuracy of 100 %. The achieved high level of classification accuracy was due to the ability of the suggested deep model to build a hierarchy of self-learned features, which was in accordance with the hierarchy of these fish's identification keys. In conclusion, the proposed convolutional neural network (CNN)-based method has a single and generic trained architecture with promising performance for fish species identification.",yes
"Barnes, M. A., W. L. Chadderton, C. L. Jerde, A. R. Mahon, C. R. Turner, and D. M. Lodge",2021,Environmental conditions influence edna particle size distribution in aquatic systems,Environmental DNA,3,3,643-653,"Knowledge about the size of environmental DNA (eDNA) and eDNA‐bearing particles in aquatic environments is integral to efficient and sensitive analyses. To explore the influence of environmental factors on eDNA particle size distribution (PSD), we manipulated fish communities across nine experimental ponds, which led to differences in a suite of environmental covariates (biochemical oxygen demand, chlorophyll a concentration, conductivity, dissolved oxygen, pH, temperature, and turbidity) over 5 months. At the end of the experiment, we serially filtered water samples from each pond through 5 filter sizes (20, 10, 5, 1, and 0.2 µm) followed by eDNA precipitation. We used quantitative PCR to determine the proportion of Common Carp (Cyprinus carpio) or bigheaded carp (Hypophthalmichthys molitrix and H. nobilis) eDNA captured within each size fraction. Based on eDNA concentrations recorded at each size fraction, we parameterized a Weibull distribution to describe the eDNA PSD of each species in each pond. Likelihood ratio tests suggested that PSD did not differ between species but did differ across ponds. Stepwise multiple regressions indicated that the specific environmental factors with the greatest influence on PSD differed depending on the pore size of the filter used for capture. Notably, positive associations with chlorophyll and turbidity were most important for predicting capture with a 10‐µm filter, suggesting that eDNA is sticky, and the presence of relatively large particles such as algal cells or other suspended sediments can dramatically alter eDNA PSD. Therefore, we advocate that researchers and managers consider analysis of eDNA PSD within their study systems to optimize eDNA capture efficiencies and increase detection probabilities across variable biotic and abiotic conditions. Furthermore, reporting eDNA PSD evaluations across more diverse systems has the potential to reveal broader patterns of eDNA capture efficiency and improve research and natural resource management with eDNA applications.",yes
"Behera, B. K., A. K. Bera, P. Paria, A. Das, P. K. Parida, S. Kumari, S. Bhowmick, and B. K. Das",2018,Identification and pathogenicity of plesiomonas shigelloides in silver carp,Aquaculture,493,,314-318,"Plesiomonas shigelloides was isolated from diseased silver carp in Kolkata Wetland, West Bengal, India. It was associated with mortality of Silver Carp, Hypophthalmichthys molitrix, which is the most widely cultivable fish species in fresh water aquaculture. The P. shigelloides was identified based on the biochemical and molecular characterization and the pathogenicity was studied on H. molitrix. The 16S rRNA gene sequence of the present isolate (NCBI GenBank Accession Number- KX986915) revealed that, the isolate was 100% identical with P. shigelloides (NCBI GenBank Accession Number- MF100995). P. shigelloides killed 10-100% fish in experimental infection and the LD50 value was calculated as 1.3 x 10(5)CFU per fish with intraperitoneal injection. The challenged fish had subcutaneous haemorrhagic ulcers and reddening at injection sites, however there was no clinical sign observed in the gill. The histology of experimentally challenged H. molitrix showed the kidney alterations and exhibited shrinkage of epithelial cells in renal tubule and enlargement of glomerular cells.Liver showed focal accumulation of edematous fluid, necrosis and infiltration of heterophils indicative of bacterial infection. The pathology and pathogenesis studies of this pathogen in inland open waters like wetlands and lakes would help in management of the outbreak of disease in these aquatic ecosystems.",yes
"Borland, L. K., C. J. Mulcahy, B. A. Bennie, D. D. Baumann, R. J. Haro, M. Van Appledorn, K. J. Jankowski, A. R. Cupp, and R. A. Erickson",2020,Using markov chains to quantitatively assess movement patterns of invasive fishes impacted by a carbon dioxide barrier in outdoor ponds,Natural Resource Modeling,33,4,,"Natural resource managers use barriers to deter the movement of aquatic invasive species. Research and development of new invasive species barriers is often evaluated in pond and field scales using high-resolution telemetry data. Telemetry data sets can be a rich source of data about fish movement and behavior but can be difficult to analyze due to the size of these data sets as well as their irregular sampling intervals. Due to the challenges, most barrier studies only use summary endpoints, such as barrier passage counts or average (e.g., mean or median) fish distance from the barrier, to describe the data. To examine more fine-scale fish movement patterns, we developed a first-order Markov chain. We then used this model to help understand the impacts of a barrier on fish behavior. For our study system, we used data from a previous study examining how bighead and silver carp (two invasive fish species in the United States) responded to a carbon dioxide (CO2) barrier in a pond. Considerations for management Based upon our findings, management considerations include: Markov chains can be used to describe and quantify movement patterns of aquatic organisms responding to barriers. These models provide insight not possible with previously used summary approaches. The CO(2)barrier changed both the locations of fish and movement patterns of fish. The changes in movement were not captured using conventional endpoints. Specifically, fish had less random movement patterns during periods of CO(2)exposure. This provides evidence that bighead and silver carp actively avoided areas with CO(2)and also shows that our approach can help assess random versus nonrandom movements",yes
"Bouska, W. W., D. C. Glover, K. L. Bouska, and J. E. Garvey",2017,A refined electrofishing technique for collecting silver carp: Implications for management,North American Journal of Fisheries Management,37,1,101-107,"Detecting nuisance species at low abundance or in newly established areas is critical to developing pest management strategies. Due to their sensitivity to disturbance and erratic jumping behavior, Silver Carp Hypophthalmichthys molitrix can be difficult to collect with traditional sampling methods. We compared catch per unit effort (CPUE) of all species froma Long Term Resource Monitoring (LTRM) electrofishing protocol to an experimental electrofishing technique designed to minimize Silver Carp evasion through tactical boat maneuvering and selective application of power. Differences in CPUE between electrofishing methods were detected for 2 of 41 species collected across 2 years of sampling at 20 sites along the Illinois River. The mean catch rate of Silver Carp using the experimental technique was 2.2 times the mean catch rate of the LTRM electrofishing technique; the increased capture efficiency at low relative abundance emphasizes the utility of this method for early detection. The experimental electrofishing also collected slightly larger Silver Carp (mean: 510.7 mm TL versus 495.2 mm TL), and nearly four times as many Silver Carp independently jumped into the boat during experimental transects. Novel sampling approaches, such as the experimental electrofishing technique used in this study, should be considered to increase probability of detection for aquatic nuisance species.",yes
"Cai, C., J. He, W. Chen, J. Zhang, Q. Wang, X. Song, Y. Ye, Y. Wang, P. Wu, and X. Cao",2019,Biological manipulation of eutrophication in west yangchen lake,Aquaculture and Fisheries,4,5,190-197,"This paper aims to share findings on nonclassical biomanipulation from a field study on eutrophic West Yangcheng (WY) Lake. In the forty years before 2009, cyanobacteria frequently bloomed in WY Lake, an event which has not occurred since 2009. The stocking density of filter-feeding carp was estimated to be more than 50 g/m3 in July after 2009, approximately double the amount observed before 2009, and the ratio of silver carp to bighead carp (SBR) increased from 0.8 to more than 1.6. Compared with the water quality between 2004 and 2007, the total nitrogen (TN) and the chlorophyll-a (Chl-a) concentration decreased while total phosphorus (TP) and transparency (SD) increased significantly after 2009 (P < 0.05). The decreasing Chl-a concentration was observed in Jul, Jun, May, Jul, and Mar in 2009, 2010, 2011, 2016, and 2017, respectively. The Chl-a concentration was significantly negatively correlated with TP (P < 0.05), and no significant correlation with TN was observed (P > 0.05). A significant negative correlation was observed between fish yield and SD (P < 0.05). The results also showed that filter-feeding carp more effectively restrained algae growth when SD was low. These results indicated that a high density of filter-feeding fish with increased SBR interfered with the driving effects of nutrients and temperature on the growth of algal biomass and then restrained bloom of algae. It may be necessary to take SD into consideration for determining the appropriate fish stocking density for the biomanipulation of algae.",yes
"Chara-Serna, A. M., and A. Casper",2021,How do large river zooplankton communities respond to abiotic and biotic drivers over time? A complex and spatially dependent example,Freshwater Biology,66,2,391-405,"Recent evidence shows that in lotic, physically-dominated ecosystems like large rivers, zooplankton can develop spatially structured assemblages and fulfill functionally important roles. While refuting the long-standing notion that riverine zooplankton communities are numerically depauperate and spatially homogeneous, this also shows that the importance of abiotic and biotic drivers and the consistency of ecological patterns are still poorly understood for these communities. We collected zooplankton along 300 km of the Illinois River for 5 years to test the influence of a suite of biotic and abiotic variables on zooplankton density, biomass, and diversity. We hypothesized abiotic variables such as temperature, turbidity, and velocity would be predominant predictors, with biotic variables like planktivory becoming important when physical factors do not constrain them. Results showed basin-wide declines in zooplankton taxonomic richness as planktivory from the invading silver carp (Hypophthalmichthys molitrix) increased. In contrast, density and biomass were explained by abiotic factors at the basin scale, with velocity, turbidity, and pH driving biomass and velocity driving density. We also found that both the driving factors and the plankton responses varied among the upper, middle, and lower sections of the Illinois River. We conclude that while zooplankton communities of the Illinois River are highly structured in space, the driving forces behind their distribution patterns are not simple. Instead, there is a complex spatio-temporal template of biological, chemical, and hydraulic factors shaping these communities in the Illinois River. Along with emphasizing the importance of spatial heterogeneity in large river ecosystems, these results also support a growing view that invasive species interactions can supersede the well-established role of abiotic factors in explaining global freshwater diversity losses. This also highlights the importance of including long-term zooplankton sampling in ecological monitoring programs in diverse and productive large river systems like the Illinois.",yes
"Chick, J. H., C. E. Colaninno, A. M. Beyer, K. B. Brown, C. T. Dopson, A. O. Enzerink, S. R. Goesmann, T. Higgins, N. Q. Knutzen, E. N. Laute, P. M. Long, P. L. Ottenfeld, A. T. Uehling, L. C. Ward, K. A. Maxson, E. N. Ratcliff, B. J. Lubinski, and E. J. Gittinger",2020,Following the edge of the flood: Use of shallow-water habitat by larval silver carp <i>Hypophthalmichthys molitrix</i> in the upper Mississippi river system,Journal of Freshwater Ecology,35,1,95-104,"We examined the use of “edge of flood” habitats by larval silver carp during the extensive flooding that occurred in Pool 26 of the Upper Mississippi River near Alton, IL, USA and St. Louis, MO, USA during the summer of 2015. We captured over 12,700 individual fishes including eight taxa, over 12,000 of which (> 95%) were larval silver carp between 5 and 21 mm standard length. Peak catch rates occurred near the confluence of the Illinois and Mississippi rivers. These findings suggest that larval silver carp have an affinity for edge of the flood habitat and further study is needed to better understand how this affects the dynamics of this invasive species in the Mississippi River. The high catch rates observed at the confluence of the Illinois and Mississippi rivers suggests that the Illinois River is an important source of larval silver carp to the Upper Mississippi River.",yes
"Chick, J. H., D. K. Gibson-Reinemer, L. Soeken-Gittinger, and A. F. Casper",2020,Invasive silver carp is empirically linked to declines of native sport fish in the upper Mississippi river system,Biological Invasions,22,2,723-734,"Empirical assessments of the influence of invasive species on native species are infrequent because the required long-term data are rarely available. The invasion of silver carp in the Upper Mississippi River System (UMRS) provides a unique opportunity to assess the influence of this invasive species on native fishes because a highly standardized, long-term monitoring program has been sampling the fish communities in six reaches of the UMRS for over 20 years. We analyzed fish abundance (catch per unit effort from electrofishing) and water-quality data collected from 1994 to 2013 from three reaches where silver carp populations have been established since 2000, and three reaches where they are not established. Our results provide empirical evidence of a negative effect of invasive silver carp on native sport fish in the UMRS. Although water temperature, suspended solid concentration, and flooding also differed substantially between control and invaded reaches, only silver carp abundance had a direct negative relationship with the abundance of adult sport fish. Our analyses suggest that the mechanism for this decline may be competition for zooplankton between silver carp and larval/juvenile sport fish. In reaches where silver carp is established, recruitment of juvenile sport fish appears to be constrained relative to reaches where silver carp is not established.",yes
